Method,English,,Norwegian,,Russian,
,Mean distances,,,,,
,correlation,P-value,correlation,P-value,correlation,P-value
Jaccard,-0.3656042180712454,0.0,-0.3311015012260156,2.4388860040809482e-118,-0.3239311371272356,5.098484344524017e-226
Procrustes,-0.19299164512091738,2.3710854293449726e-89,-0.20583067770633046,2.8021568642796247e-45,-0.1721948659055449,8.728574903255042e-63
GlobalAnchors,0.2862821957195654,8.333375375886462e-199,-0.07965706272444414,6.127959402238111e-08,0.11213799552026747,2.128303041104145e-27
,Mean deltas from 1960s,,,,,
,correlation,P-value,correlation,P-value,correlation,P-value
Jaccard,0.04819495187403534,7.021827949413276e-07,0.09908947849320421,1.5630801369683193e-11,0.07968772438398013,1.42667840530683e-14
Procrustes,0.06607323691314841,1.0141878996266217e-11,0.1192263439336061,4.622961544265256e-16,0.0755191862824342,3.093087433069123e-13
GlobalAnchors,0.07340965820521896,3.970730008363808e-14,0.12315482520046896,4.83569230597778e-17,0.05267997221460948,3.739690323146017e-07
